"date","manner_of_death","armed","age","gender","race","state","signs_of_mental_illness","threat_level","flee","body_camera","longitude","latitude","year"
2020-06-13,"shot","toy weapon",21,"M",0,"CA","False","attack","Not fleeing","False",-117.25,34.117,"2020"
2020-06-13,"shot","gun",26,"M",0,"CA","False","other","Foot","False",-118.092,34.579,"2020"
2020-06-15,"shot","gun",31,"M",0,"KS","False","attack","Car","False",-95.236,38.95,"2020"
2020-06-16,"shot","gun",24,"M",1,"IL","False","attack","Not fleeing","False",-87.876,42.439,"2020"
2020-06-16,"shot","gun",27,"M",1,"AZ","False","attack","Not fleeing","True",-112.1,33.495,"2020"
2020-06-17,"shot","gun",31,"M",1,"CA","False","attack","Not fleeing","False",-118.158,34.871,"2020"
2020-06-17,"shot","gun",48,"M",0,"MS","False","attack","Not fleeing","False",-88.895,32.543,"2020"
2020-06-18,"shot","gun",38,"M",0,"CO","False","other","Not fleeing","False",-105.043,39.824,"2020"
2020-06-18,"shot","gun",19,"M",0,"MT","False","attack","Not fleeing","False",-108.535,45.772,"2020"
2020-06-18,"shot","gun",18,"M",0,"CA","False","other","Foot","False",-118.304,33.89,"2020"
2020-06-18,"shot","gun",35,"M",0,"NC","False","attack","Not fleeing","False",-81.094,35.573,"2020"
2020-06-19,"shot","tire iron",25,"M",0,"OK","False","attack","Foot","False",-94.79,36.422,"2020"
2020-06-21,"shot and Tasered","knife",19,"M",0,"CA","False","attack","Not fleeing","True",-121.877,37.441,"2020"
2020-06-22,"shot","gun",22,"M",0,"CO","False","attack","Not fleeing","True",-104.819,39.768,"2020"
2020-06-22,"shot","gun",33,"M",0,"CA","False","other","Not fleeing","False",-116.355,33.746,"2020"
2020-06-22,"shot","knife",43,"M",1,"TX","False","other","Not fleeing","False",-96.94,30.19,"2020"
2020-06-22,"shot","gun",63,"M",0,"NV","True","attack","Not fleeing","False",-115.15,36.243,"2020"
2020-06-23,"shot","knife",22,"M",1,"TX","False","attack","Not fleeing","False",-96.64,33.609,"2020"
2020-06-24,"shot","gun",31,"M",1,"CA","False","attack","Car","False",-117.749,34.075,"2020"
